updatedAt; title; locality; rent; url
"2024-03-23T16:56:17.920Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 24000; "https://classifieds.mygate.com/listing/65edc41be7af4c001cb29ca3"
"2024-03-12T14:14:36.004Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 22000; "https://classifieds.mygate.com/listing/65ef138af2152e001cb560f4"
"2024-01-20T12:01:57.999Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 22000; "https://classifieds.mygate.com/listing/65abb633cfaf8d001c7ea23d"
"2023-10-28T06:57:44.202Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 34000; "https://classifieds.mygate.com/listing/653106351bf7c0001c5fd0e0"
"2023-09-10T08:01:53.328Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 21000; "https://classifieds.mygate.com/listing/64fd77ee598e0a001ced8289"
"2024-03-21T12:31:15.236Z"; "3 BHK, BREN WOODS"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/650d4cc94bb66b001cffab3c"
"2024-04-10T02:47:34.812Z"; "3 BHK, Sri Sai Acropolis"; "Hosur Road"; 25000; "https://classifieds.mygate.com/listing/6614ccff174a60001d852d49"
"2024-03-08T06:52:31.555Z"; "3 BHK, Sri Sai Acropolis"; "Hosur Road"; 40000; "https://classifieds.mygate.com/listing/64b657f36cacfb001cc8dd17"
"2024-02-25T17:51:30.826Z"; "3 BHK, Magnolia Maks Blossom"; "Electronic City"; 1000; "https://classifieds.mygate.com/listing/65d4db277de8b0001d005f84"
"2024-04-21T16:29:13.973Z"; "2 BHK, Reliaable Gardeniaa Layout"; "Rayasandra"; 22000; "https://classifieds.mygate.com/listing/63fc398f1178f0001c8e099e"
"2023-12-17T09:28:21.536Z"; "3 BHK, Purnima Elite"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/6536508aa60144001ce08ffb"
